Empresa,Nombre,Cargo,% Derechos Voto,Fecha Nombramiento
"ACCIONA, S.A.","GONZALEZ DURATEZ, MIRIAM",CONSEJERO,n/d,10/06/2010
"ACCIONA, S.A.","MONTOYA MOYA, VALENTIN",CONSEJERO,0.004,19/05/2001
"ACCIONA, S.A.","RODES VILA, FERNANDO",CONSEJERO,0.016,04/06/2009
"ACCIONA, S.A.","URGOITI LOPEZ OCAÑA, JUAN MANUEL",VICEPRESIDENTE,0.004,14/04/1997
"ACCIONA, S.A.","VILLALONGA MORENES, BELEN",CONSEJERO,0.000,10/05/2006
"LA SEDA DE BARCELONA, S.A.",BA PET BV,PRESIDENTE,20.026,14/10/2010
"LA SEDA DE BARCELONA, S.A.","MORLANES GALINDO, JOSE LUIS",VICEPRESIDENTE,0.079,14/10/2010
"LA SEDA DE BARCELONA, S.A.","RIERA ANDRES, JOSE LUIS",CONSEJERO,0.000,28/04/2010
"LA SEDA DE BARCELONA, S.A.","SORIA SENDRA, CARLOS",CONSEJERO,0.001,01/04/2010
"LA SEDA DE BARCELONA, S.A.","TAVARES FERREIRA, JORGE ALEXANDRE",CONSEJERO,0.014,17/07/2012
"LA SEDA DE BARCELONA, S.A.","TRAUTZ , VOLKER",CONSEJERO,0.000,09/02/2011
"LA SEDA DE BARCELONA, S.A.","VAN DE WALLE , LESLIE",CONSEJERO,0.059,09/02/2011
"GAS NATURAL SDG, S.A.","ADELL RAMON, RAMON",CONSEJERO,0.000,18/06/2010
"GAS NATURAL SDG, S.A.","ALCANTARA-GARCIA IRAZOQUI, ENRIQUE",CONSEJERO,0.001,31/12/1991
"GAS NATURAL SDG, S.A.","AÑOVEROS TRIAS DE BES, XABIER",CONSEJERO,0.000,20/04/2012
"GAS NATURAL SDG, S.A.","BRUFAU NIUBO, ANTONIO",VICEPRESIDENTE,0.008,28/10/2004
"GAS NATURAL SDG, S.A.","CARCELLER ARCE, DEMETRIO",CONSEJERO,0.003,28/06/2007
"GAS NATURAL SDG, S.A.","COBO COBO, SANTIAGO",CONSEJERO,0.000,16/12/2002
"GAS NATURAL SDG, S.A.","FERNANDEZ-CUESTA LUCA DE TENA, NEMESIO",CONSEJERO,0.000,28/01/2011
"GAS NATURAL SDG, S.A.","GABARRO SERRA, SALVADOR",PRESIDENTE,0.000,28/10/2004
"GAS NATURAL SDG, S.A.","GONZALEZ MARQUEZ, FELIPE",CONSEJERO,0.002,17/12/2010
"GAS NATURAL SDG, S.A.","LOPEZ ACHURRA, EMILIANO",CONSEJERO,0.000,23/06/2003
"GAS NATURAL SDG, S.A.","LOSADA MARRODAN, CARLOS",CONSEJERO,0.001,16/12/2002
"GAS NATURAL SDG, S.A.","NIN GENOVA, JUAN MARIA",CONSEJERO,0.000,25/01/2008
"GAS NATURAL SDG, S.A.","PADROL MUNTE, HERIBERT",CONSEJERO,n/d,20/04/2012
"GAS NATURAL SDG, S.A.","ROSELL LASTORTRAS, JUAN",CONSEJERO,0.000,26/06/2009
"GAS NATURAL SDG, S.A.","SUAREZ DE LEZO MANTILLA, LUIS",CONSEJERO,0.002,26/02/2010
"GAS NATURAL SDG, S.A.","VALLS MASEDA, MIGUEL",CONSEJERO,0.001,28/01/2005
"GAS NATURAL SDG, S.A.","VILLASECA MARCO, RAFAEL",CONSEJERO DELEGADO,0.001,28/01/2005
"CEMENTOS MOLINS, S.A.","CARTERA DE INVERSIONES C.M., S.A.",VICEPRESIDENTE 2º,24.015,29/07/2009
"CEMENTOS MOLINS, S.A.","DEL CAMPO RODRIGUEZ, MIGUEL",CONSEJERO,0.002,21/06/2002
"CEMENTOS MOLINS, S.A.","DIAZ-MORERA PUIG-SUREDA, EUSEBIO",CONSEJERO,0.000,31/05/2012
"CEMENTOS MOLINS, S.A.","FERNANDEZ BESCOS, FRANCISCO JAVIER",CONSEJERO,0.001,31/05/2012
"CEMENTOS MOLINS, S.A.","FORO FAMILIAR MOLINS, S.L.",CONSEJERO,0.001,28/06/2007
"CEMENTOS MOLINS, S.A.","GUTIERREZ FERNANDEZ DE LIENCRES, EMILIO",CONSEJERO,0.002,21/06/2002
"CEMENTOS MOLINS, S.A.","INVERSORA PEDRALBES, S.A.",CONSEJERO,16.880,26/06/1996
"CEMENTOS MOLINS, S.A.","MOLINS AMAT, JOAQUIN",CONSEJERO,0.000,15/06/2001
"CEMENTOS MOLINS, S.A.","MOLINS AMAT, JUAN",VICEPRESIDENTE-CONSEJERO DELEGADO,0.072,31/03/2005
"CEMENTOS MOLINS, S.A.","MOLINS LOPEZ-RODO, JOAQUIN Mª",CONSEJERO,0.064,29/07/2009
"CEMENTOS MOLINS, S.A.","MOLINS RIBOT, CASIMIRO",PRESIDENTE,0.063,25/06/1990
"CEMENTOS MOLINS, S.A.","NOUMEA, S.A.",CONSEJERO,32.086,26/06/1996
"MIQUEL Y COSTAS & MIQUEL, S.A.","BANCO MARE NOSTRUM, S.A.",CONSEJERO,18.107,30/01/2012
"MIQUEL Y COSTAS & MIQUEL, S.A.","BASAÑEZ VILLALUENGA, JAVIER",SECRETARIO CONSEJERO,0.084,28/07/2008
"MIQUEL Y COSTAS & MIQUEL, S.A.","CANET MARTINEZ, ANTONIO",CONSEJERO,1.061,30/11/1989
"MIQUEL Y COSTAS & MIQUEL, S.A.","COELLO BRUFAU, JOAQUIN",CONSEJERO,0.007,26/06/2008
"MIQUEL Y COSTAS & MIQUEL, S.A.","DE LA SERNA CORRAL, ALVARO",CONSEJERO,0.114,28/07/2008
"MIQUEL Y COSTAS & MIQUEL, S.A.","DIAZ-MORERA PUIG-SUREDA, EUSEBIO",CONSEJERO,0.080,22/05/1997
"MIQUEL Y COSTAS & MIQUEL, S.A.","GASOLIBA BOHM, CARLES-ALFRED",CONSEJERO,0.148,28/07/1993
"MIQUEL Y COSTAS & MIQUEL, S.A.","JOANFRA, S.A.",CONSEJERO,6.640,25/10/1999
"MIQUEL Y COSTAS & MIQUEL, S.A.","MERCADER BARATA, JORGE",CONSEJERO,0.166,27/06/2012
"MIQUEL Y COSTAS & MIQUEL, S.A.","MERCADER MIRO, JORGE",PRESIDENTE,11.093,27/05/1992
"MIQUEL Y COSTAS & MIQUEL, S.A.","NADAL PELLEJERO, JORDI",CONSEJERO,0.001,26/02/2007
"URBAS GRUPO FINANCIERO, S.A.","AURICI DEL SUR, S.L.",VICEPRESIDENTE,0.000,13/02/2013
"URBAS GRUPO FINANCIERO, S.A.","CORPORATE LEISURE, S.L.",CONSEJERO,0.000,29/06/2012
"URBAS GRUPO FINANCIERO, S.A.","DARIVENIA MARKETS, S.L.",CONSEJERO,0.011,26/06/2009
"URBAS GRUPO FINANCIERO, S.A.","ESPARTEL FUND INVESTMENT, S.L.",CONSEJERO,0.015,15/09/2009
"URBAS GRUPO FINANCIERO, S.A.","EURO COMETA, S.L.",CONSEJERO,0.011,12/05/2009
"URBAS GRUPO FINANCIERO, S.A.","FOMENTO DE INVERSIONES DIRECTAS, S.L.",CONSEJERO,0.014,22/04/2008
"URBAS GRUPO FINANCIERO, S.A.","IBAÑEZ FERNANDEZ, JUAN ANTONIO",PRESIDENTE-CONSEJERO DELEGADO,9.731,04/02/2008
"URBAS GRUPO FINANCIERO, S.A.","RAMOS ATIENZA, LUIS",CONSEJERO,0.000,14/02/2011
"URBAS GRUPO FINANCIERO, S.A.","TRES CULTURAS DOS ORILLAS, S.L.",CONSEJERO,6.803,27/06/2008
"MAPFRE, S.A.","BAEZA GOMEZ, IGNACIO",VICEPRESIDENTE 4º,0.005,09/05/2012
"MAPFRE, S.A.","BECA BORREGO, RAFAEL",CONSEJERO,0.015,29/12/2006
"MAPFRE, S.A.","FONTOIRA SURIS, RAFAEL",CONSEJERO,0.000,29/12/2006
"MAPFRE, S.A.","GOIRIGOLZARRI TELLAECHE, JOSE IGNACIO",CONSEJERO,0.000,26/07/2012
"MAPFRE, S.A.","HERNANDO DE LARRAMENDI MARTINEZ, LUIS",CONSEJERO,0.000,17/04/1999
"MAPFRE, S.A.","HUERTAS MEJIAS, ANTONIO",PRESIDENTE,0.008,10/03/2012
"MAPFRE, S.A.","ITURBE SANZ DE MADRID, LUIS",CONSEJERO,0.001,26/03/2004
"MAPFRE, S.A.","JIMENEZ HERRADON, ANDRES",CONSEJERO,0.001,29/12/2006
"MAPFRE, S.A.","LAGARES GOMEZ-ABASCAL, MANUEL",CONSEJERO,0.000,26/07/2012
"MAPFRE, S.A.","MANZANO MARTOS, ALBERTO",CONSEJERO,0.003,08/03/2011
"MAPFRE, S.A.","MARQUEZ OSORIO, RAFAEL",CONSEJERO,0.002,29/12/2006
"MAPFRE, S.A.","MARTIN TABERNERO, FRANCISCA",CONSEJERO,0.000,29/12/2006
"MAPFRE, S.A.","MIGUEL-ROMERO OLANO, ANTONIO",CONSEJERO,0.001,17/04/1999
"MAPFRE, S.A.","MIRA CANDEL, FILOMENO",CONSEJERO,0.006,17/04/1999
"MAPFRE, S.A.","NUÑEZ TOVAR, ANTONIO",VICEPRESIDENTE 3º,0.010,09/05/2012
"MAPFRE, S.A.","PEDRAYES LARRAURI, ESTEBAN",CONSEJERO,0.003,09/05/2012
"MAPFRE, S.A.","REBUELTA BADIAS, ALFONSO",CONSEJERO,0.002,17/04/1999
"MAPFRE, S.A.","RUIZ RISUEÑO, FRANCISCO",VICEPRESIDENTE 2º,0.000,12/03/2003
"MAPFRE, S.A.","SALVA BENNASAR, MATIAS",CONSEJERO,0.027,29/12/2006
"MAPFRE, S.A.","TEJERA MONTALVO, ESTEBAN",VICEPRESIDENTE 1º,0.000,09/05/2012
"MAPFRE, S.A.","VALLEJO VALLEJO, FRANCISCO",CONSEJERO,0.004,29/12/2006
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","BIGATA RIBE, FRANCISCO JAVIER",PRESIDENTE,0.170,02/02/1994
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","BOSSER TORRENS, MARIA ANGELS",CONSEJERO,n/d,09/06/1997
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","BUSTOS GARRIDO, FRANCISCO",CONSEJERO,n/d,27/06/2005
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","BUSTOS GARRIDO, MANUEL",CONSEJERO,n/d,01/09/1999
"COMPANYIA D´AIGÜES DE SABADELL, S.A.",CAMARA OFICIAL DE COMERCIO E INDUSTRIA DE SABADELL,CONSEJERO,2.658,19/12/1994
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","ENRICH MULS, CARLES",SECRETARIO CONSEJERO,n/d,28/05/1993
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","ESTRADA ARIMONI, RICARD",CONSEJERO,n/d,20/07/2011
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","FERRER PERARNAU, JORDI",CONSEJERO,n/d,20/07/1995
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","FIDUCIARIA DEL VALLES, S.A.",CONSEJERO,9.144,28/02/1994
"COMPANYIA D´AIGÜES DE SABADELL, S.A.",FUNDACIO PRIVADA GREMI DE FABRICANTS DE SABADELL,CONSEJERO,3.162,14/05/2008
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","LLONCH ANDREU, JOAN",CONSEJERO,0.172,30/11/1989
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","MANAU VALOR, JOAN",CONSEJERO,n/d,20/07/2011
"COMPANYIA D´AIGÜES DE SABADELL, S.A.","UNNIM BANC, S.A",CONSEJERO,7.255,25/06/2012
"NYESA VALORES CORPORACION, S.A.","ECHEGOYEN MORER, VALERO",CONSEJERO,0.000,29/04/2011
"NYESA VALORES CORPORACION, S.A.","PERALTA GRACIA, JESUS MARIA",CONSEJERO,0.000,27/07/2011
"NYESA VALORES CORPORACION, S.A.","PINEDO TORRES, CARLOS EDUARDO",CONSEJERO,0.002,08/04/2010
"NYESA VALORES CORPORACION, S.A.","RIBERALIA SERVICIOS GENERALES, S.L.",CONSEJERO,21.032,19/01/2012
"NYESA VALORES CORPORACION, S.A.","VALLEJO MONTERO, JUAN MANUEL",PRESIDENTE,0.027,29/08/2011
"UNION EUROPEA DE INVERSIONES, S.A.","FERREIRA DE AMORIN, AMERICO",CONSEJERO,7.713,20/12/2006
"UNION EUROPEA DE INVERSIONES, S.A.","GUZMAN GONZALEZ, JOSE ANTONIO",CONSEJERO DELEGADO,0.001,27/06/2006
"UNION EUROPEA DE INVERSIONES, S.A.","MARTINEZ-ECHEVARRIA Y GARCIA DE DUEÑAS, ALFONSO",VICEPRESIDENTE,0.000,28/06/2011
"UNION EUROPEA DE INVERSIONES, S.A.","MONTUENGA BADIA, JOSE MARIA",VICEPRESIDENTE,0.055,28/06/2011
"UNION EUROPEA DE INVERSIONES, S.A.","NIGORRA COBIAN, LUIS",VICEPRESIDENTE,0.000,28/06/2011
"UNION EUROPEA DE INVERSIONES, S.A.","PEREZ JAIME, VICENTE JOSE",PRESIDENTE,0.000,09/10/2012
"GRUPO CATALANA OCCIDENTE, S.A.","ALVAREZ JUSTE, JOSE IGNACIO",CONSEJERO,0.000,26/04/2012
"GRUPO CATALANA OCCIDENTE, S.A.","ARREGUI LABORDA, FRANCISCO JOSE",SECRETARIO CONSEJERO,0.067,29/01/1998
"GRUPO CATALANA OCCIDENTE, S.A.","BACH PORTABELLA, MARIANO",CONSEJERO,0.038,24/10/1991
"GRUPO CATALANA OCCIDENTE, S.A.","COTYP, S.L.",CONSEJERO,0.002,23/02/2012
"GRUPO CATALANA OCCIDENTE, S.A.","ENRICH IZARD, JORGE",CONSEJERO,0.000,04/10/1993
"GRUPO CATALANA OCCIDENTE, S.A.","ENRICH SERRA, JORGE",CONSEJERO,0.000,25/06/2009
"GRUPO CATALANA OCCIDENTE, S.A.","GUERRERO GILABERT, JUAN IGNACIO",CONSEJERO,0.000,28/04/2011
"GRUPO CATALANA OCCIDENTE, S.A.","HALPERN BLASCO, FEDERICO",CONSEJERO,0.028,10/12/1993
"GRUPO CATALANA OCCIDENTE, S.A.","INVERSIONES GIRO GODO, S.L., S.U.",CONSEJERO,0.013,29/11/2007
"GRUPO CATALANA OCCIDENTE, S.A.","JS INVEST, S.L.",VICEPRESIDENTE,0.000,23/02/2012
"GRUPO CATALANA OCCIDENTE, S.A.","JUSAL, S.L.",CONSEJERO,5.001,29/04/2010
"GRUPO CATALANA OCCIDENTE, S.A.","LACANUDA CONSELL, S.L.",CONSEJERO,0.000,29/04/2010
"GRUPO CATALANA OCCIDENTE, S.A.","NEWSERCAL, S.L.",CONSEJERO,0.095,24/02/2011
"GRUPO CATALANA OCCIDENTE, S.A.","OLANDOR, S.L.",CONSEJERO,0.003,25/04/1996
"GRUPO CATALANA OCCIDENTE, S.A.","SERRA FARRE, JOSE MARIA",PRESIDENTE,0.383,31/10/2002
"GRUPO CATALANA OCCIDENTE, S.A.","SOLER SERRA, MARIA ASSUMPTA",CONSEJERO,0.150,24/09/2009
"GRUPO CATALANA OCCIDENTE, S.A.","VILLASA, S.L.",CONSEJERO,0.476,26/06/1997
"COMPAÑIA DE INVERSIONES MOBILIARIAS BARCINO, S.A.","ARRAEZ BERTOLIN, IGNACIO JOSE",CONSEJERO,0.033,29/06/2009
"COMPAÑIA DE INVERSIONES MOBILIARIAS BARCINO, S.A.","NEGRA BATLLE, ALBERTO LUIS",CONSEJERO,0.557,28/06/2002
"COMPAÑIA DE INVERSIONES MOBILIARIAS BARCINO, S.A.","NEGRA BATLLE, ANTONIO",PRESIDENTE,0.004,15/07/2001
"COMPAÑIA DE INVERSIONES MOBILIARIAS BARCINO, S.A.","SALAS PRADA, DIEGO",CONSEJERO,0.002,12/02/2004
"COMPAÑIA DE INVERSIONES MOBILIARIAS BARCINO, S.A.","SIERRA GARCIA, ANTONIO",CONSEJERO,0.003,12/02/2004
"ABERTIS INFRAESTRUCTURAS, S.A.","ALEMANY MAS, SALVADOR",PRESIDENTE-CONSEJERO DELEGADO,0.033,11/05/2009
"ABERTIS INFRAESTRUCTURAS, S.A.","ARMENTER VIDAL, MARCELINO",CONSEJERO,0.001,18/09/2007
"ABERTIS INFRAESTRUCTURAS, S.A.","COLOMER CASELLAS, CARLOS",CONSEJERO,0.000,24/07/2012
"ABERTIS INFRAESTRUCTURAS, S.A.","FAINE CASAS, ISIDRO",VICEPRESIDENTE,0.008,11/05/2009
"ABERTIS INFRAESTRUCTURAS, S.A.","FORNESA RIBO, RICARDO",CONSEJERO,0.000,24/02/2009
"ABERTIS INFRAESTRUCTURAS, S.A.","G3T, S.L.",VICEPRESIDENTE,0.288,29/11/2005
"ABERTIS INFRAESTRUCTURAS, S.A.","GUTIERREZ MENDEZ, MIGUEL ANGEL",CONSEJERO,0.000,30/11/2004
"ABERTIS INFRAESTRUCTURAS, S.A.","OBRASCON HUARTE LAIN, S.A.",VICEPRESIDENTE 2º,15.460,12/12/2012
"ABERTIS INFRAESTRUCTURAS, S.A.",OHL CONCESIONES S.L.,CONSEJERO,15.241,12/12/2012
"ABERTIS INFRAESTRUCTURAS, S.A.","OHL EMISIONES, S.A. UNIPERSONAL",CONSEJERO,15.241,12/12/2012
"ABERTIS INFRAESTRUCTURAS, S.A.","PABLIS 21, S.L.",CONSEJERO,0.000,24/04/2012
"ABERTIS INFRAESTRUCTURAS, S.A.","REYNES MASSANET, FRANCISCO",CONSEJERO DELEGADO,0.000,08/06/2010
"ABERTIS INFRAESTRUCTURAS, S.A.",THEATRE DIRECTORSHIP SERVICES ALPHA S.A.R.L.,CONSEJERO,0.000,25/10/2010
"ABERTIS INFRAESTRUCTURAS, S.A.",THEATRE DIRECTORSHIP SERVICES BETA S.A.R.L.,CONSEJERO,0.000,25/10/2010
