id,relation,['Nombre', 'Cargo', '% Derechos Voto']
1,[],'TUBACEX, S.A.', 'AROSTEGUI GOMEZ, GERARDO', 'CONSEJERO', '0.025', '30/11/1989'
36,[],'FUNESPA\xc3\x91A, S.A.', 'MAPFRE FAMILIAR COMPA\xc3\x91IA DE SEGUROS Y REASEGUROS, S.A.', 'PRESIDENTE', '63.800', '17/07/2012'
37,[],'FUNESPA\xc3\x91A, S.A.', 'MATIACCI MARCOS, MARIA TERESA', 'CONSEJERO', '0.000', '17/07/2012'
38,[],'FUNESPA\xc3\x91A, S.A.', 'ORTIZ JOVER, ALBERTO', 'CONSEJERO DELEGADO', '0.000', '30/05/2012'
39,[],'FUNESPA\xc3\x91A, S.A.', 'RODULFO LAVILLA, CARLOS', 'CONSEJERO', '0.000', '17/09/2007'
40,[],'FUNESPA\xc3\x91A, S.A.', 'VALDIVIA GERADA, ANGEL', 'CONSEJERO DELEGADO', '0.849', '13/03/1995'
41,[],'FUNESPA\xc3\x91A, S.A.', 'VALDIVIA GERADA, JUAN ANTONIO', 'VICEPRESIDENTE', '17.203', '17/07/2012'
42,[],'ALZA REAL ESTATE, S.A.', 'ALARCON SAINZ, MARIA EMILIA', 'CONSEJERO', '4.374', '27/06/2011'
43,[],'ALZA REAL ESTATE, S.A.', 'ALARCON ZAMORA, TOMAS', 'PRESIDENTE', '41.990', '17/04/2007'
44,[],'ALZA REAL ESTATE, S.A.', 'ARROJO BOTIJA, JOSE MANUEL', 'CONSEJERO', '0.472', '17/04/2007'
45,[],'ALZA REAL ESTATE, S.A.', 'GISA LIMITED', 'CONSEJERO', '4.481', '26/03/2012'
46,[],'ALZA REAL ESTATE, S.A.', 'LOPEZ DE HERRERA-ORIA, LUIS', 'CONSEJERO DELEGADO', '0.886', '17/04/2007'
47,[],'ALZA REAL ESTATE, S.A.', 'RICART DE OLIVAR, FEDERICO', 'CONSEJERO', '0.910', '28/09/2009'
48,[],'ALZA REAL ESTATE, S.A.', 'SOTRES DE LA SEN, NATALIO', 'CONSEJERO', '0.000', '28/06/2011'
49,[],'ALZA REAL ESTATE, S.A.', 'ZANETTY DUE\xc3\x91AS, JOSE LUIS', 'CONSEJERO', '0.000', '28/09/2009'
50,[],'BANCO DE SABADELL, S.A.', 'ANDIC ERMAY, ISAK', 'VICEPRESIDENTE', '2.820', '25/11/2010'
51,[],'BANCO DE SABADELL, S.A.', 'CASAS SELVAS, FRANCISCO', 'CONSEJERO', '0.040', '13/11/1997'
52,[],'BANCO DE SABADELL, S.A.', 'COLONQUES MORENO, HECTOR', 'CONSEJERO', '0.060', '31/10/2001'
53,[81,1054],'BANCO DE SABADELL, S.A.', 'DAURELLA COMADRAN, SOLEDAD', 'CONSEJERO', '0.328', '19/03/2009'
54,[453,739,1317],'BANCO DE SABADELL, S.A.', 'ECHENIQUE LANDIRIBAR, JAVIER', 'VICEPRESIDENTE', '0.001', '16/12/2010'
55,[],'BANCO DE SABADELL, S.A.', 'FOLCH-RUSI\xc3\x91OL CORACHAN, JOAQUIN', 'CONSEJERO', '0.506', '09/03/2000'
56,[789],'BANCO DE SABADELL, S.A.', 'GARCIA-MILA LLOVERAS, MARIA TERESA', 'CONSEJERO', '0.001', '30/03/2007'
57,[],'BANCO DE SABADELL, S.A.', 'GUARDIOLA ROMOJARO, JAIME', 'CONSEJERO DELEGADO', '0.008', '27/09/2007'
58,[1337],'BANCO DE SABADELL, S.A.', 'LARA BOSCH, JOSE MANUEL', 'VICEPRESIDENTE', '0.044', '25/11/2010'
59,[179],'BANCO DE SABADELL, S.A.', 'LLONCH ANDREU, JOAN', 'CONSEJERO', '0.044', '18/04/2001'
60,[],'BANCO DE SABADELL, S.A.', 'MARTINEZ SUFRATEGUI, JOSE RAMON', 'CONSEJERO', '0.027', '16/12/2010'
61,[],'BANCO DE SABADELL, S.A.', 'MARTINS MONTEIRO, ANTONIO VITOR', 'CONSEJERO', '0.000', '20/09/2012'
62,[],'BANCO DE SABADELL, S.A.', 'NEGRO RODRIGUEZ, JOSE LUIS', 'CONSEJERO', '0.053', '31/05/2012'
63,[],'BANCO DE SABADELL, S.A.', 'OLIU CREUS, JOSE', 'PRESIDENTE', '0.205', '23/12/1999'
64,[],'BANCO DE SABADELL, S.A.', 'PERMANYER CUNILLERA, JOSE', 'CONSEJERO', '0.068', '21/03/2002'
65,[],'ERCROS, S.A.', 'BLANCO BALIN, JOSE RAMON', 'CONSEJERO', '0.000', '29/07/1996'
66,[],'ERCROS, S.A.', 'FERNANDEZ-GOULA PFAFF, LUIS', 'CONSEJERO', '0.000', '09/04/2010'
67,[339],'ERCROS, S.A.', 'ROLDAN AGUILAR, LAUREANO', 'CONSEJERO', '0.000', '29/07/1996'
68,[],'ERCROS, S.A.', 'SANCHEZ MORRONDO, EDUARDO', 'CONSEJERO', '0.000', '18/06/2004'
69,[],'ERCROS, S.A.', 'ZABALZA MARTI, ANTONIO', 'PRESIDENTE', '0.042', '14/06/1996'
70,[],'SOCIEDAD ANONIMA DAMM', 'AGENJO BOSCH, RAMON', 'SECRETARIO CONSEJERO', '0.018', '15/06/1990'
71,[103,487,1051],'SOCIEDAD ANONIMA DAMM', 'CARCELLER ARCE, DEMETRIO', 'PRESIDENTE', '0.684', '23/06/1993'
72,[],'SOCIEDAD ANONIMA DAMM', 'DISA CORPORACION PETROLIFERA, S.A.', 'CONSEJERO', '27.768', '21/06/1999'
73,[],'SOCIEDAD ANONIMA DAMM', 'DISA FINANCIACION, S.A.U.', 'CONSEJERO', '0.021', '23/06/2010'
74,[],'SOCIEDAD ANONIMA DAMM', 'FURRIOL FORNELS, PAU', 'CONSEJERO', '0.126', '30/08/1993'
75,[],'SOCIEDAD ANONIMA DAMM', 'HARDMAN CERES, S.L.', 'CONSEJERO', '0.410', '26/02/1996'
76,[1059],'SOCIEDAD ANONIMA DAMM', 'OETKER , RUDOLF-AUGUST', 'CONSEJERO', '0.002', '26/06/2001'
77,[],'SOCIEDAD ANONIMA DAMM', 'SCHRODER , ERNST FRIEDRICH', 'CONSEJERO', '0.000', '29/06/2010'
78,[],'SOCIEDAD ANONIMA DAMM', 'SEEGRUND, B.V.', 'CONSEJERO', '13.952', '07/07/1994'
79,[],'ACCIONA, S.A.', 'CASTELLANOS BORREGO, JAIME', 'CONSEJERO', '0.071', '04/06/2009'
80,[3],'ACCIONA, S.A.', 'CRESPO BOFIL, CONSUELO', 'CONSEJERO', 'n/d', '19/06/2008'
81,[53,1054],'ACCIONA, S.A.', 'DAURELLA COMADRAN, SOLEDAD', 'CONSEJERO', '0.025', '09/06/2011'
82,[],'ACCIONA, S.A.', 'ENTRECANALES DOMECQ, DANIEL', 'CONSEJERO', '0.154', '04/06/2009'
83,[],'ACCIONA, S.A.', 'ENTRECANALES DOMECQ, JOSE MANUEL', 'PRESIDENTE', '0.112', '26/04/2004'
84,[],'ACCIONA, S.A.', 'ENTRECANALES FRANCO, JAVIER', 'CONSEJERO', '0.000', '22/09/2011'
85,[],'ACCIONA, S.A.', 'ENTRECANALES FRANCO, JUAN IGNACIO', 'VICEPRESIDENTE', '0.026', '26/04/2004'
86,[313],'ACCIONA, S.A.', 'ESPINOSA DE LOS MONTEROS BERNALDO DE QUIROS, CARLOS', 'CONSEJERO', '0.005', '29/06/1994'
87,[],'ACCIONA, S.A.', 'GONZALEZ DURATEZ, MIRIAM', 'CONSEJERO', 'n/d', '10/06/2010'
88,[],'ACCIONA, S.A.', 'MONTOYA MOYA, VALENTIN', 'CONSEJERO', '0.004', '19/05/2001'
89,[],'ACCIONA, S.A.', 'RODES VILA, FERNANDO', 'CONSEJERO', '0.016', '04/06/2009'
90,[320],'ACCIONA, S.A.', 'URGOITI LOPEZ OCA\xc3\x91A, JUAN MANUEL', 'VICEPRESIDENTE', '0.004', '14/04/1997'
91,[],'ACCIONA, S.A.', 'VILLALONGA MORENES, BELEN', 'CONSEJERO', '0.000', '10/05/2006'
92,[],'LA SEDA DE BARCELONA, S.A.', 'BA PET BV', 'PRESIDENTE', '20.026', '14/10/2010'
93,[],'LA SEDA DE BARCELONA, S.A.', 'MORLANES GALINDO, JOSE LUIS', 'VICEPRESIDENTE', '0.079', '14/10/2010'
94,[],'LA SEDA DE BARCELONA, S.A.', 'RIERA ANDRES, JOSE LUIS', 'CONSEJERO', '0.000', '28/04/2010'
95,[],'LA SEDA DE BARCELONA, S.A.', 'SORIA SENDRA, CARLOS', 'CONSEJERO', '0.001', '01/04/2010'
96,[],'LA SEDA DE BARCELONA, S.A.', 'TAVARES FERREIRA, JORGE ALEXANDRE', 'CONSEJERO', '0.014', '17/07/2012'
97,[],'LA SEDA DE BARCELONA, S.A.', 'TRAUTZ , VOLKER', 'CONSEJERO', '0.000', '09/02/2011'
98,[],'LA SEDA DE BARCELONA, S.A.', 'VAN DE WALLE , LESLIE', 'CONSEJERO', '0.059', '09/02/2011'
99,[],'GAS NATURAL SDG, S.A.', 'ADELL RAMON, RAMON', 'CONSEJERO', '0.000', '18/06/2010'
100,[],'GAS NATURAL SDG, S.A.', 'ALCANTARA-GARCIA IRAZOQUI, ENRIQUE', 'CONSEJERO', '0.001', '31/12/1991'
101,[],'GAS NATURAL SDG, S.A.', 'A\xc3\x91OVEROS TRIAS DE BES, XABIER', 'CONSEJERO', '0.000', '20/04/2012'
102,[1313],'GAS NATURAL SDG, S.A.', 'BRUFAU NIUBO, ANTONIO', 'VICEPRESIDENTE', '0.008', '28/10/2004'
103,[71,487,1051],'GAS NATURAL SDG, S.A.', 'CARCELLER ARCE, DEMETRIO', 'CONSEJERO', '0.003', '28/06/2007'
104,[],'GAS NATURAL SDG, S.A.', 'COBO COBO, SANTIAGO', 'CONSEJERO', '0.000', '16/12/2002'
105,[],'GAS NATURAL SDG, S.A.', 'FERNANDEZ-CUESTA LUCA DE TENA, NEMESIO', 'CONSEJERO', '0.000', '28/01/2011'
106,[278],'GAS NATURAL SDG, S.A.', 'GABARRO SERRA, SALVADOR', 'PRESIDENTE', '0.000', '28/10/2004'
107,[],'GAS NATURAL SDG, S.A.', 'GONZALEZ MARQUEZ, FELIPE', 'CONSEJERO', '0.002', '17/12/2010'
108,[],'GAS NATURAL SDG, S.A.', 'LOPEZ ACHURRA, EMILIANO', 'CONSEJERO', '0.000', '23/06/2003'
109,[],'GAS NATURAL SDG, S.A.', 'LOSADA MARRODAN, CARLOS', 'CONSEJERO', '0.001', '16/12/2002'
110,[287,1322],'GAS NATURAL SDG, S.A.', 'NIN GENOVA, JUAN MARIA', 'CONSEJERO', '0.000', '25/01/2008'
111,[],'GAS NATURAL SDG, S.A.', 'PADROL MUNTE, HERIBERT', 'CONSEJERO', 'n/d', '20/04/2012'
112,[290],'GAS NATURAL SDG, S.A.', 'ROSELL LASTORTRAS, JUAN', 'CONSEJERO', '0.000', '26/06/2009'
113,[1325],'GAS NATURAL SDG, S.A.', 'SUAREZ DE LEZO MANTILLA, LUIS', 'CONSEJERO', '0.002', '26/02/2010'
114,[],'GAS NATURAL SDG, S.A.', 'VALLS MASEDA, MIGUEL', 'CONSEJERO', '0.001', '28/01/2005'
115,[],'GAS NATURAL SDG, S.A.', 'VILLASECA MARCO, RAFAEL', 'CONSEJERO DELEGADO', '0.001', '28/01/2005'
116,[],'CEMENTOS MOLINS, S.A.', 'CARTERA DE INVERSIONES C.M., S.A.', 'VICEPRESIDENTE 2\xc2\xba', '24.015', '29/07/2009'
117,[],'CEMENTOS MOLINS, S.A.', 'DEL CAMPO RODRIGUEZ, MIGUEL', 'CONSEJERO', '0.002', '21/06/2002'
118,[133],'CEMENTOS MOLINS, S.A.', 'DIAZ-MORERA PUIG-SUREDA, EUSEBIO', 'CONSEJERO', '0.000', '31/05/2012'
119,[],'CEMENTOS MOLINS, S.A.', 'FERNANDEZ BESCOS, FRANCISCO JAVIER', 'CONSEJERO', '0.001', '31/05/2012'
120,[],'CEMENTOS MOLINS, S.A.', 'FORO FAMILIAR MOLINS, S.L.', 'CONSEJERO', '0.001', '28/06/2007'
121,[],'CEMENTOS MOLINS, S.A.', 'GUTIERREZ FERNANDEZ DE LIENCRES, EMILIO', 'CONSEJERO', '0.002', '21/06/2002'
122,[],'CEMENTOS MOLINS, S.A.', 'INVERSORA PEDRALBES, S.A.', 'CONSEJERO', '16.880', '26/06/1996'
123,[],'CEMENTOS MOLINS, S.A.', 'MOLINS AMAT, JOAQUIN', 'CONSEJERO', '0.000', '15/06/2001'
124,[],'CEMENTOS MOLINS, S.A.', 'MOLINS AMAT, JUAN', 'VICEPRESIDENTE-CONSEJERO DELEGADO', '0.072', '31/03/2005'
125,[],'CEMENTOS MOLINS, S.A.', 'MOLINS LOPEZ-RODO, JOAQUIN M\xc2\xaa', 'CONSEJERO', '0.064', '29/07/2009'
126,[],'CEMENTOS MOLINS, S.A.', 'MOLINS RIBOT, CASIMIRO', 'PRESIDENTE', '0.063', '25/06/1990'
127,[],'CEMENTOS MOLINS, S.A.', 'NOUMEA, S.A.', 'CONSEJERO', '32.086', '26/06/1996'
128,[443,1141],'MIQUEL Y COSTAS & MIQUEL, S.A.', 'BANCO MARE NOSTRUM, S.A.', 'CONSEJERO', '18.107', '30/01/2012'
129,[],'MIQUEL Y COSTAS & MIQUEL, S.A.', 'BASA\xc3\x91EZ VILLALUENGA, JAVIER', 'SECRETARIO CONSEJERO', '0.084', '28/07/2008'
130,[],'MIQUEL Y COSTAS & MIQUEL, S.A.', 'CANET MARTINEZ, ANTONIO', 'CONSEJERO', '1.061', '30/11/1989'
131,[],'MIQUEL Y COSTAS & MIQUEL, S.A.', 'COELLO BRUFAU, JOAQUIN', 'CONSEJERO', '0.007', '26/06/2008'
132,[],'MIQUEL Y COSTAS & MIQUEL, S.A.', 'DE LA SERNA CORRAL, ALVARO', 'CONSEJERO', '0.114', '28/07/2008'
133,[118],'MIQUEL Y COSTAS & MIQUEL, S.A.', 'DIAZ-MORERA PUIG-SUREDA, EUSEBIO', 'CONSEJERO', '0.080', '22/05/1997'
134,[],'MIQUEL Y COSTAS & MIQUEL, S.A.', 'GASOLIBA BOHM, CARLES-ALFRED', 'CONSEJERO', '0.148', '28/07/1993'
135,[],'MIQUEL Y COSTAS & MIQUEL, S.A.', 'JOANFRA, S.A.', 'CONSEJERO', '6.640', '25/10/1999'
136,[],'MIQUEL Y COSTAS & MIQUEL, S.A.', 'MERCADER BARATA, JORGE', 'CONSEJERO', '0.166', '27/06/2012'
137,[],'MIQUEL Y COSTAS & MIQUEL, S.A.', 'MERCADER MIRO, JORGE', 'PRESIDENTE', '11.093', '27/05/1992'
138,[],'MIQUEL Y COSTAS & MIQUEL, S.A.', 'NADAL PELLEJERO, JORDI', 'CONSEJERO', '0.001', '26/02/2007'
139,[],'URBAS GRUPO FINANCIERO, S.A.', 'AURICI DEL SUR, S.L.', 'VICEPRESIDENTE', '0.000', '13/02/2013'
140,[],'URBAS GRUPO FINANCIERO, S.A.', 'CORPORATE LEISURE, S.L.', 'CONSEJERO', '0.000', '29/06/2012'
141,[],'URBAS GRUPO FINANCIERO, S.A.', 'DARIVENIA MARKETS, S.L.', 'CONSEJERO', '0.011', '26/06/2009'
142,[],'URBAS GRUPO FINANCIERO, S.A.', 'ESPARTEL FUND INVESTMENT, S.L.', 'CONSEJERO', '0.015', '15/09/2009'
143,[],'URBAS GRUPO FINANCIERO, S.A.', 'EURO COMETA, S.L.', 'CONSEJERO', '0.011', '12/05/2009'
144,[],'URBAS GRUPO FINANCIERO, S.A.', 'FOMENTO DE INVERSIONES DIRECTAS, S.L.', 'CONSEJERO', '0.014', '22/04/2008'
145,[],'URBAS GRUPO FINANCIERO, S.A.', 'IBA\xc3\x91EZ FERNANDEZ, JUAN ANTONIO', 'PRESIDENTE-CONSEJERO DELEGADO', '9.731', '04/02/2008'
146,[],'URBAS GRUPO FINANCIERO, S.A.', 'RAMOS ATIENZA, LUIS', 'CONSEJERO', '0.000', '14/02/2011'
147,[],'URBAS GRUPO FINANCIERO, S.A.', 'TRES CULTURAS DOS ORILLAS, S.L.', 'CONSEJERO', '6.803', '27/06/2008'
148,[],'MAPFRE, S.A.', 'BAEZA GOMEZ, IGNACIO', 'VICEPRESIDENTE 4\xc2\xba', '0.005', '09/05/2012'
149,[],'MAPFRE, S.A.', 'BECA BORREGO, RAFAEL', 'CONSEJERO', '0.015', '29/12/2006'
150,[],'MAPFRE, S.A.', 'FONTOIRA SURIS, RAFAEL', 'CONSEJERO', '0.000', '29/12/2006'
151,[308],'MAPFRE, S.A.', 'GOIRIGOLZARRI TELLAECHE, JOSE IGNACIO', 'CONSEJERO', '0.000', '26/07/2012'
152,[],'MAPFRE, S.A.', 'HERNANDO DE LARRAMENDI MARTINEZ, LUIS', 'CONSEJERO', '0.000', '17/04/1999'
153,[],'MAPFRE, S.A.', 'HUERTAS MEJIAS, ANTONIO', 'PRESIDENTE', '0.008', '10/03/2012'
154,[],'MAPFRE, S.A.', 'ITURBE SANZ DE MADRID, LUIS', 'CONSEJERO', '0.001', '26/03/2004'
155,[],'MAPFRE, S.A.', 'JIMENEZ HERRADON, ANDRES', 'CONSEJERO', '0.001', '29/12/2006'
156,[1122,1485],'MAPFRE, S.A.', 'LAGARES GOMEZ-ABASCAL, MANUEL', 'CONSEJERO', '0.000', '26/07/2012'
157,[],'MAPFRE, S.A.', 'MANZANO MARTOS, ALBERTO', 'CONSEJERO', '0.003', '08/03/2011'
158,[],'MAPFRE, S.A.', 'MARQUEZ OSORIO, RAFAEL', 'CONSEJERO', '0.002', '29/12/2006'
159,[],'MAPFRE, S.A.', 'MARTIN TABERNERO, FRANCISCA', 'CONSEJERO', '0.000', '29/12/2006'
160,[],'MAPFRE, S.A.', 'MIGUEL-ROMERO OLANO, ANTONIO', 'CONSEJERO', '0.001', '17/04/1999'
161,[],'MAPFRE, S.A.', 'MIRA CANDEL, FILOMENO', 'CONSEJERO', '0.006', '17/04/1999'
162,[],'MAPFRE, S.A.', 'NU\xc3\x91EZ TOVAR, ANTONIO', 'VICEPRESIDENTE 3\xc2\xba', '0.010', '09/05/2012'
163,[],'MAPFRE, S.A.', 'PEDRAYES LARRAURI, ESTEBAN', 'CONSEJERO', '0.003', '09/05/2012'
164,[],'MAPFRE, S.A.', 'REBUELTA BADIAS, ALFONSO', 'CONSEJERO', '0.002', '17/04/1999'
165,[],'MAPFRE, S.A.', 'RUIZ RISUE\xc3\x91O, FRANCISCO', 'VICEPRESIDENTE 2\xc2\xba', '0.000', '12/03/2003'
166,[],'MAPFRE, S.A.', 'SALVA BENNASAR, MATIAS', 'CONSEJERO', '0.027', '29/12/2006'
167,[],'MAPFRE, S.A.', 'TEJERA MONTALVO, ESTEBAN', 'VICEPRESIDENTE 1\xc2\xba', '0.000', '09/05/2012'
168,[],'MAPFRE, S.A.', 'VALLEJO VALLEJO, FRANCISCO', 'CONSEJERO', '0.004', '29/12/2006'
169,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'BIGATA RIBE, FRANCISCO JAVIER', 'PRESIDENTE', '0.170', '02/02/1994'
170,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'BOSSER TORRENS, MARIA ANGELS', 'CONSEJERO', 'n/d', '09/06/1997'
171,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'BUSTOS GARRIDO, FRANCISCO', 'CONSEJERO', 'n/d', '27/06/2005'
172,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'BUSTOS GARRIDO, MANUEL', 'CONSEJERO', 'n/d', '01/09/1999'
173,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'CAMARA OFICIAL DE COMERCIO E INDUSTRIA DE SABADELL', 'CONSEJERO', '2.658', '19/12/1994'
174,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'ENRICH MULS, CARLES', 'SECRETARIO CONSEJERO', 'n/d', '28/05/1993'
175,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'ESTRADA ARIMONI, RICARD', 'CONSEJERO', 'n/d', '20/07/2011'
176,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'FERRER PERARNAU, JORDI', 'CONSEJERO', 'n/d', '20/07/1995'
177,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'FIDUCIARIA DEL VALLES, S.A.', 'CONSEJERO', '9.144', '28/02/1994'
178,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'FUNDACIO PRIVADA GREMI DE FABRICANTS DE SABADELL', 'CONSEJERO', '3.162', '14/05/2008'
179,[59],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'LLONCH ANDREU, JOAN', 'CONSEJERO', '0.172', '30/11/1989'
180,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'MANAU VALOR, JOAN', 'CONSEJERO', 'n/d', '20/07/2011'
181,[],'COMPANYIA D\xc2\xb4AIG\xc3\x9cES DE SABADELL, S.A.', 'UNNIM BANC, S.A', 'CONSEJERO', '7.255', '25/06/2012'
182,[],'NYESA VALORES CORPORACION, S.A.', 'ECHEGOYEN MORER, VALERO', 'CONSEJERO', '0.000', '29/04/2011'
183,[],'NYESA VALORES CORPORACION, S.A.', 'PERALTA GRACIA, JESUS MARIA', 'CONSEJERO', '0.000', '27/07/2011'
184,[],'NYESA VALORES CORPORACION, S.A.', 'PINEDO TORRES, CARLOS EDUARDO', 'CONSEJERO', '0.002', '08/04/2010'
185,[],'NYESA VALORES CORPORACION, S.A.', 'RIBERALIA SERVICIOS GENERALES, S.L.', 'CONSEJERO', '21.032', '19/01/2012'
186,[],'NYESA VALORES CORPORACION, S.A.', 'VALLEJO MONTERO, JUAN MANUEL', 'PRESIDENTE', '0.027', '29/08/2011'
187,[419],'UNION EUROPEA DE INVERSIONES, S.A.', 'FERREIRA DE AMORIN, AMERICO', 'CONSEJERO', '7.713', '20/12/2006'
188,[],'UNION EUROPEA DE INVERSIONES, S.A.', 'GUZMAN GONZALEZ, JOSE ANTONIO', 'CONSEJERO DELEGADO', '0.001', '27/06/2006'
189,[],'UNION EUROPEA DE INVERSIONES, S.A.', 'MARTINEZ-ECHEVARRIA Y GARCIA DE DUE\xc3\x91AS, ALFONSO', 'VICEPRESIDENTE', '0.000', '28/06/2011'
190,[],'UNION EUROPEA DE INVERSIONES, S.A.', 'MONTUENGA BADIA, JOSE MARIA', 'VICEPRESIDENTE', '0.055', '28/06/2011'
